,Price,From,To,is_holiday,avialine,duration,days_until_flight,part_of_day
254,37489,Алматы,Астана,False,Air Astana,105,22,утро
255,29720,Алматы,Астана,True,SCAT,95,23,утро
256,29720,Алматы,Астана,True,SCAT,100,23,утро
257,29720,Алматы,Астана,True,SCAT,105,23,вечер
258,33720,Алматы,Астана,True,SCAT,100,23,день
259,35536,Алматы,Астана,True,FlyArystan,110,23,вечер
260,37490,Алматы,Астана,True,Qazaq Air,145,23,утро
261,40837,Алматы,Астана,True,FlyArystan,115,23,ночь
262,40837,Алматы,Астана,True,FlyArystan,110,23,день
263,40837,Алматы,Астана,True,FlyArystan,115,23,утро
264,29620,Алматы,Астана,False,SCAT,100,24,утро
265,29620,Алматы,Астана,False,SCAT,105,24,вечер
266,29429,Алматы,Астана,False,FlyArystan,110,24,день
267,29620,Алматы,Астана,False,SCAT,100,24,день
268,29620,Алматы,Астана,False,SCAT,105,24,день
269,29620,Алматы,Астана,False,SCAT,100,24,день
270,29620,Алматы,Астана,False,SCAT,95,24,утро
271,29620,Алматы,Астана,False,SCAT,100,25,утро
272,32489,Алматы,Астана,False,Air Astana,110,25,вечер
273,29429,Алматы,Астана,False,FlyArystan,110,25,утро
274,29429,Алматы,Астана,False,FlyArystan,110,25,вечер
275,29429,Алматы,Астана,False,FlyArystan,110,25,день
276,29620,Алматы,Астана,False,SCAT,100,25,ночь
277,29620,Алматы,Астана,False,SCAT,100,25,день
278,22109,Алматы,Астана,False,FlyArystan,110,27,вечер
279,38902,Алматы,Астана,False,Air Astana,110,27,утро
280,26631,Алматы,Астана,False,SCAT,100,27,день
281,26631,Алматы,Астана,False,SCAT,100,27,день
282,29720,Алматы,Астана,False,SCAT,100,27,вечер
283,29620,Алматы,Астана,False,SCAT,100,27,утро
284,29620,Алматы,Астана,False,SCAT,95,27,утро
285,29429,Алматы,Астана,False,FlyArystan,115,27,вечер
286,22309,Алматы,Астана,False,SCAT,95,28,утро
287,38902,Алматы,Астана,False,Air Astana,110,28,утро
288,30234,Алматы,Астана,False,FlyArystan,115,28,ночь
289,25648,Алматы,Астана,False,SCAT,105,28,день
290,28987,Алматы,Астана,False,SCAT,100,28,день
291,28987,Алматы,Астана,False,SCAT,100,28,день
292,30234,Алматы,Астана,False,FlyArystan,115,28,утро
293,15107,Алматы,Астана,False,FlyArystan,110,29,вечер
294,19220,Алматы,Астана,False,SCAT,100,29,утро
295,17324,Алматы,Астана,False,FlyArystan,110,29,день
296,17324,Алматы,Астана,False,FlyArystan,115,29,утро
297,19220,Алматы,Астана,False,SCAT,100,29,день
298,19220,Алматы,Астана,False,SCAT,100,29,день
299,19220,Алматы,Астана,False,SCAT,105,29,день
300,12220,Алматы,Астана,False,SCAT,105,30,вечер
301,12999,Алматы,Астана,False,FlyArystan,115,30,утро
302,12999,Алматы,Астана,False,FlyArystan,110,30,вечер
303,15119,Алматы,Астана,False,FlyArystan,110,30,день
304,15626,Алматы,Астана,False,SCAT,100,30,утро
305,15626,Алматы,Астана,False,SCAT,100,30,день
306,15626,Алматы,Астана,False,SCAT,95,30,утро
307,20489,Алматы,Астана,False,Air Astana,110,30,утро
308,12220,Алматы,Астана,False,SCAT,105,31,день
309,12220,Алматы,Астана,False,SCAT,100,31,утро
310,12999,Алматы,Астана,False,FlyArystan,110,31,вечер
311,12220,Алматы,Астана,False,SCAT,95,31,утро
312,12220,Алматы,Астана,False,SCAT,100,31,день
313,12220,Алматы,Астана,False,SCAT,100,31,день
314,12999,Алматы,Астана,False,FlyArystan,110,31,день
315,12999,Алматы,Астана,False,FlyArystan,115,31,утро
316,12220,Алматы,Астана,False,SCAT,95,32,утро
317,13577,Алматы,Астана,False,FlyArystan,110,32,утро
318,24726,Алматы,Астана,False,Air Astana,110,32,вечер
319,15720,Алматы,Астана,False,SCAT,100,32,день
320,15720,Алматы,Астана,False,SCAT,100,32,утро
321,15720,Алматы,Астана,False,SCAT,100,32,ночь
322,15830,Алматы,Астана,False,FlyArystan,110,32,день
323,15119,Алматы,Астана,False,FlyArystan,115,33,утро
324,15720,Алматы,Астана,False,SCAT,105,33,вечер
325,15720,Алматы,Астана,False,SCAT,100,33,утро
326,15720,Алматы,Астана,False,SCAT,105,33,день
327,15720,Алматы,Астана,False,SCAT,95,33,утро
328,15720,Алматы,Астана,False,SCAT,100,33,день
329,18299,Алматы,Астана,False,FlyArystan,110,33,день
330,18299,Алматы,Астана,False,FlyArystan,115,33,ночь
331,15720,Алматы,Астана,False,SCAT,95,34,утро
332,24489,Алматы,Астана,False,Air Astana,110,34,утро
333,15720,Алматы,Астана,False,SCAT,100,34,вечер
334,15720,Алматы,Астана,False,SCAT,100,34,день
335,18299,Алматы,Астана,False,FlyArystan,110,34,вечер
336,18299,Алматы,Астана,False,FlyArystan,115,34,утро
337,19220,Алматы,Астана,False,SCAT,100,34,утро
338,19220,Алматы,Астана,False,SCAT,105,34,вечер
339,19220,Алматы,Астана,False,SCAT,100,34,день
340,15626,Алматы,Астана,False,SCAT,100,35,утро
341,15830,Алматы,Астана,False,FlyArystan,115,35,утро
342,15626,Алматы,Астана,False,SCAT,95,35,утро
343,18970,Алматы,Астана,False,SCAT,105,35,день
344,18299,Алматы,Астана,False,FlyArystan,115,35,утро
345,21967,Алматы,Астана,False,SCAT,105,35,вечер
346,21479,Алматы,Астана,False,FlyArystan,110,35,день
347,22309,Алматы,Астана,False,SCAT,100,35,день
348,12220,Алматы,Астана,False,SCAT,105,36,вечер
349,24726,Алматы,Астана,False,Air Astana,110,36,утро
350,12288,Алматы,Астана,False,SCAT,105,36,день
351,12288,Алматы,Астана,False,SCAT,100,36,день
352,13577,Алматы,Астана,False,FlyArystan,110,36,вечер
353,15626,Алматы,Астана,False,SCAT,95,36,утро
354,15626,Алматы,Астана,False,SCAT,100,36,день
355,15626,Алматы,Астана,False,SCAT,100,36,утро
356,15830,Алматы,Астана,False,FlyArystan,115,36,утро
357,12220,Алматы,Астана,False,SCAT,95,37,утро
358,12220,Алматы,Астана,False,SCAT,100,37,утро
359,12220,Алматы,Астана,False,SCAT,105,37,вечер
360,13577,Алматы,Астана,False,FlyArystan,110,37,день
361,13577,Алматы,Астана,False,FlyArystan,115,37,утро
362,13577,Алматы,Астана,False,FlyArystan,110,37,вечер
363,20574,Алматы,Астана,False,Air Astana,110,37,день
364,12419,Алматы,Астана,False,SCAT,100,38,день
365,12419,Алматы,Астана,False,SCAT,100,38,утро
366,12419,Алматы,Астана,False,SCAT,105,38,вечер
367,12419,Алматы,Астана,False,SCAT,100,38,день
368,12419,Алматы,Астана,False,SCAT,105,38,день
369,12419,Алматы,Астана,False,SCAT,95,38,утро
370,12999,Алматы,Астана,False,FlyArystan,110,38,вечер
371,12999,Алматы,Астана,False,FlyArystan,115,38,утро
372,12999,Алматы,Астана,False,FlyArystan,110,38,день
373,12220,Алматы,Астана,False,SCAT,100,39,день
374,12220,Алматы,Астана,False,SCAT,100,39,утро
375,12220,Алматы,Астана,False,SCAT,100,39,ночь
376,12220,Алматы,Астана,False,SCAT,105,39,день
377,12220,Алматы,Астана,False,SCAT,95,39,утро
378,12999,Алматы,Астана,False,FlyArystan,110,39,утро
379,15119,Алматы,Астана,False,FlyArystan,110,39,день
380,18299,Алматы,Астана,False,FlyArystan,110,39,вечер
381,12220,Алматы,Астана,False,SCAT,100,40,утро
382,15720,Алматы,Астана,False,SCAT,105,40,вечер
383,12220,Алматы,Астана,False,SCAT,95,40,утро
384,15119,Алматы,Астана,False,FlyArystan,115,40,утро
385,15720,Алматы,Астана,False,SCAT,105,40,день
386,15720,Алматы,Астана,False,SCAT,100,40,день
387,15720,Алматы,Астана,False,SCAT,100,40,день
388,18299,Алматы,Астана,False,FlyArystan,110,40,день
389,15119,Алматы,Астана,False,FlyArystan,110,41,день
390,15119,Алматы,Астана,False,FlyArystan,115,41,утро
391,15720,Алматы,Астана,False,SCAT,100,41,вечер
392,15720,Алматы,Астана,False,SCAT,100,41,день
393,15720,Алматы,Астана,False,SCAT,100,41,день
394,15720,Алматы,Астана,False,SCAT,95,41,утро
395,18299,Алматы,Астана,False,FlyArystan,110,41,вечер
396,18299,Алматы,Астана,False,FlyArystan,115,41,вечер
397,15720,Алматы,Астана,False,SCAT,95,42,утро
398,15830,Алматы,Астана,False,FlyArystan,115,42,утро
399,22720,Алматы,Астана,False,SCAT,105,42,вечер
400,15830,Алматы,Астана,False,FlyArystan,115,42,утро
401,19220,Алматы,Астана,False,SCAT,105,42,день
402,19220,Алматы,Астана,False,SCAT,100,42,день
403,19220,Алматы,Астана,False,SCAT,100,42,утро
404,19290,Алматы,Астана,False,FlyArystan,110,42,день
405,12220,Алматы,Астана,False,SCAT,105,43,день
406,12220,Алматы,Астана,False,SCAT,100,43,утро
407,12220,Алматы,Астана,False,SCAT,105,43,вечер
408,12220,Алматы,Астана,False,SCAT,100,43,день
409,12220,Алматы,Астана,False,SCAT,100,43,день
410,12220,Алматы,Астана,False,SCAT,95,43,утро
411,12999,Алматы,Астана,False,FlyArystan,110,43,вечер
412,15119,Алматы,Астана,False,FlyArystan,115,43,утро
413,9720,Алматы,Астана,False,SCAT,95,44,утро
414,9720,Алматы,Астана,False,SCAT,100,44,утро
415,12220,Алматы,Астана,False,SCAT,105,44,вечер
416,10879,Алматы,Астана,False,FlyArystan,115,44,утро
417,10879,Алматы,Астана,False,FlyArystan,110,44,день
418,12220,Алматы,Астана,False,SCAT,100,44,день
419,12999,Алматы,Астана,False,FlyArystan,110,44,вечер
420,20489,Алматы,Астана,False,Air Astana,110,44,утро
421,9720,Алматы,Астана,False,SCAT,100,45,утро
422,12220,Алматы,Астана,False,SCAT,105,45,вечер
423,10879,Алматы,Астана,False,FlyArystan,110,45,день
424,10879,Алматы,Астана,False,FlyArystan,115,45,утро
425,12220,Алматы,Астана,False,SCAT,105,45,день
426,12220,Алматы,Астана,False,SCAT,95,45,утро
427,12220,Алматы,Астана,False,SCAT,100,45,день
428,12220,Алматы,Астана,False,SCAT,100,45,день
429,12220,Алматы,Астана,False,SCAT,105,46,день
430,12220,Алматы,Астана,False,SCAT,100,46,утро
431,12220,Алматы,Астана,False,SCAT,100,46,ночь
432,12220,Алматы,Астана,False,SCAT,95,46,утро
433,12220,Алматы,Астана,False,SCAT,100,46,день
434,13577,Алматы,Астана,False,FlyArystan,110,46,день
435,13577,Алматы,Астана,False,FlyArystan,110,46,утро
436,19290,Алматы,Астана,False,FlyArystan,110,46,вечер
437,12220,Алматы,Астана,False,SCAT,100,47,утро
438,15720,Алматы,Астана,False,SCAT,105,47,вечер
439,12220,Алматы,Астана,False,SCAT,95,47,утро
440,15119,Алматы,Астана,False,FlyArystan,115,47,утро
441,15119,Алматы,Астана,False,FlyArystan,115,47,ночь
442,15119,Алматы,Астана,False,FlyArystan,110,47,день
443,12220,Алматы,Астана,False,SCAT,105,47,день
444,12220,Алматы,Астана,False,SCAT,100,47,день
445,12220,Алматы,Астана,False,SCAT,100,48,день
446,12220,Алматы,Астана,False,SCAT,100,48,утро
447,15720,Алматы,Астана,False,SCAT,105,48,вечер
448,12220,Алматы,Астана,False,SCAT,95,48,утро
449,15119,Алматы,Астана,False,FlyArystan,110,48,день
450,15119,Алматы,Астана,False,FlyArystan,115,48,вечер
451,15119,Алматы,Астана,False,FlyArystan,115,48,утро
452,15720,Алматы,Астана,False,SCAT,100,48,день
453,20489,Алматы,Астана,False,Air Astana,110,48,утро
454,12220,Алматы,Астана,False,SCAT,105,50,день
455,12220,Алматы,Астана,False,SCAT,100,50,утро
456,12220,Алматы,Астана,False,SCAT,105,50,вечер
457,12220,Алматы,Астана,False,SCAT,100,50,день
458,12220,Алматы,Астана,False,SCAT,100,50,день
459,12220,Алматы,Астана,False,SCAT,95,50,утро
460,13577,Алматы,Астана,False,FlyArystan,110,50,вечер
461,13577,Алматы,Астана,False,FlyArystan,110,50,день
462,13577,Алматы,Астана,False,FlyArystan,115,50,утро
