Price,From,To,curr_date,departure_date,arrival_date,is_holiday,is_weekends,time_interval,avialine,duration
22743,Астана,Шымкент,2024-12-15,2025-01-12 10:30,2025-01-12 12:10,False,True,10:30-12:10,SCAT,100
22743,Астана,Шымкент,2024-12-15,2025-01-12 17:40,2025-01-12 19:30,False,True,17:40-19:30,SCAT,110
25240,Астана,Шымкент,2024-12-15,2025-01-12 13:05,2025-01-12 15:00,False,True,13:05-15:00,Qazaq Air,115
25723,Астана,Шымкент,2024-12-15,2025-01-12 22:50,2025-01-13 00:40,False,True,22:50-00:40,FlyArystan,110
19146,Астана,Шымкент,2024-12-15,2025-01-13 10:35,2025-01-13 12:15,False,False,10:35-12:15,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-13 23:20,2025-01-14 01:00,False,False,23:20-01:00,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-13 17:40,2025-01-13 19:30,False,False,17:40-19:30,SCAT,110
19146,Астана,Шымкент,2024-12-15,2025-01-13 14:10,2025-01-13 15:40,False,False,14:10-15:40,SCAT,90
19146,Астана,Шымкент,2024-12-15,2025-01-13 08:10,2025-01-13 10:00,False,False,08:10-10:00,SCAT,110
19546,Астана,Шымкент,2024-12-15,2025-01-14 08:10,2025-01-14 10:00,False,False,08:10-10:00,SCAT,110
19546,Астана,Шымкент,2024-12-15,2025-01-14 23:20,2025-01-15 01:00,False,False,23:20-01:00,SCAT,100
22109,Астана,Шымкент,2024-12-15,2025-01-14 16:50,2025-01-14 18:45,False,False,16:50-18:45,FlyArystan,115
19243,Астана,Шымкент,2024-12-15,2025-01-15 17:40,2025-01-15 19:30,False,False,17:40-19:30,SCAT,110
19243,Астана,Шымкент,2024-12-15,2025-01-15 10:30,2025-01-15 12:10,False,False,10:30-12:10,SCAT,100
19243,Астана,Шымкент,2024-12-15,2025-01-15 23:20,2025-01-16 01:00,False,False,23:20-01:00,SCAT,100
19243,Астана,Шымкент,2024-12-15,2025-01-15 14:10,2025-01-15 15:40,False,False,14:10-15:40,SCAT,90
19243,Астана,Шымкент,2024-12-15,2025-01-15 08:10,2025-01-15 10:00,False,False,08:10-10:00,SCAT,110
15664,Астана,Шымкент,2024-12-15,2025-01-16 17:40,2025-01-16 19:30,False,False,17:40-19:30,SCAT,110
19146,Астана,Шымкент,2024-12-15,2025-01-16 10:35,2025-01-16 12:15,False,False,10:35-12:15,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-16 23:20,2025-01-17 01:00,False,False,23:20-01:00,SCAT,100
19146,Астана,Шымкент,2024-12-15,2025-01-16 08:10,2025-01-16 10:00,False,False,08:10-10:00,SCAT,110
19146,Астана,Шымкент,2024-12-15,2025-01-16 14:10,2025-01-16 15:40,False,False,14:10-15:40,SCAT,90
19546,Астана,Шымкент,2024-12-15,2025-01-17 10:30,2025-01-17 12:10,False,False,10:30-12:10,SCAT,100
